source,relation_type,target,source_name,target_name
2,paper_cite_paper,2222,Real-coded memetic algorithms with crossover hill-climbing,Self-Adaptive Genetic Algorithms with Simulated Binary Crossover
2,paper_cite_paper,3347,Real-coded memetic algorithms with crossover hill-climbing,Predictive models for the breeder genetic algorithm i. continuous parameter optimization
2,paper_cite_paper,360,Real-coded memetic algorithms with crossover hill-climbing,A Comparison Study of Self-Adaptation in Evolution Strategies and Real-Coded Genetic Algorithms
3,paper_cite_paper,763,Closely coupled object detection and segmentation,Image parsing: unifying segmentation detection and recognition
4,paper_cite_paper,1543,Transfer of samples in batch reinforcement learning,Identifying useful subgoals in reinforcement learning by local graph partitioning
4,paper_cite_paper,4608,Transfer of samples in batch reinforcement learning,Reinforcement Learning in Continuous Action Spaces through Sequential Monte Carlo Methods
4,paper_cite_paper,423,Transfer of samples in batch reinforcement learning,Building portable options: skill transfer in reinforcement learning
8,paper_cite_paper,4903,Cognitive walkthrough for the web,Computational models of information scent-following in a very large browsable text collection
8,paper_cite_paper,3304,Cognitive walkthrough for the web,The scent of a site: a system for analyzing and predicting information scent usage and usability of a Web site
9,paper_cite_paper,5027,Learning bounds for support vector machines with learned kernels,On the complexity of learning the kernel matrix
9,paper_cite_paper,1193,Learning bounds for support vector machines with learned kernels,Learning convex combinations of continuously parameterized basic kernels
10,paper_cite_paper,2682,Beyond independent relevance: methods and evaluation metrics for subtopic retrieval,Document language models query models and risk minimization for information retrieval
10,paper_cite_paper,2373,Beyond independent relevance: methods and evaluation metrics for subtopic retrieval,Novelty and redundancy detection in adaptive filtering
10,paper_cite_paper,1045,Beyond independent relevance: methods and evaluation metrics for subtopic retrieval,A study of smoothing methods for language models applied to Ad Hoc information retrieval
11,paper_cite_paper,561,Web-scale k-means clustering,Efficient projections onto the l 1 -ball for learning in high dimensions
11,paper_cite_paper,2606,Web-scale k-means clustering,Using the Triangle Inequality to Accelerate k-Means
13,paper_cite_paper,1437,Domain adaptive semantic diffusion for large scale context-based video annotation,Learning with Local and Global Consistency
13,paper_cite_paper,1486,Domain adaptive semantic diffusion for large scale context-based video annotation,Graph construction and b -matching for semi-supervised learning
13,paper_cite_paper,497,Domain adaptive semantic diffusion for large scale context-based video annotation,The pyramid match kernel: discriminative classification with sets of image features
13,paper_cite_paper,1705,Domain adaptive semantic diffusion for large scale context-based video annotation,Semi-supervised learning using Gaussian fields and harmonic functions
13,paper_cite_paper,4961,Domain adaptive semantic diffusion for large scale context-based video annotation,Objects in Context
13,paper_cite_paper,4554,Domain adaptive semantic diffusion for large scale context-based video annotation,Using the Forest to See the Trees: A Graphical Model Relating Features Objects and Scenes
16,paper_cite_paper,189,An online algorithm for segmenting time series,Efficient time series matching by wavelets
16,paper_cite_paper,493,An online algorithm for segmenting time series,Landmarks: a new model for similarity-based pattern querying in time series databases
16,paper_cite_paper,3461,An online algorithm for segmenting time series,Approximate queries and representations for large data sequences
17,paper_cite_paper,4533,Speeding up the Convergence of Real-Time Search,Moving target search
20,paper_cite_paper,1627,Cooperative Coevolution: An Architecture for Evolving Coadapted Subcomponents,Using genetic algorithms to explore pattern recognition in the immune system
20,paper_cite_paper,3795,Cooperative Coevolution: An Architecture for Evolving Coadapted Subcomponents,Learning Disjunctive Concepts by Means of Genetic Algorithms
20,paper_cite_paper,3233,Cooperative Coevolution: An Architecture for Evolving Coadapted Subcomponents,The cascade-correlation learning architecture
20,paper_cite_paper,3681,Cooperative Coevolution: An Architecture for Evolving Coadapted Subcomponents,Hierarchical Self-Organization in Genetic Programming
20,paper_cite_paper,2457,Cooperative Coevolution: An Architecture for Evolving Coadapted Subcomponents,Forming neural networks through efficient and adaptive coevolution
20,paper_cite_paper,532,Cooperative Coevolution: An Architecture for Evolving Coadapted Subcomponents,Searching for diverse cooperative populations with genetic algorithms
20,paper_cite_paper,1766,Cooperative Coevolution: An Architecture for Evolving Coadapted Subcomponents,Search-intensive concept induction
22,paper_cite_paper,2101,Do we really have to consider covariance matrices for image features?,A unified factorization algorithm for points line segments and planes with uncertainty models
24,paper_cite_paper,721,GPUTeraSort: high performance graphics co-processor sorting for large database management,Fast and approximate stream mining of quantiles and frequencies using graphics processors
27,paper_cite_paper,458,High resolution tracking of non-rigid 3D motion of densely sampled data using harmonic maps,The space of human body shapes: reconstruction and parameterization from range scans
27,paper_cite_paper,1002,High resolution tracking of non-rigid 3D motion of densely sampled data using harmonic maps,Vision-based control of 3D facial animation
27,paper_cite_paper,3793,High resolution tracking of non-rigid 3D motion of densely sampled data using harmonic maps,Capturing subtle facial motions in 3D face tracking
27,paper_cite_paper,4500,High resolution tracking of non-rigid 3D motion of densely sampled data using harmonic maps,3D tracking = classification + interpolation
27,paper_cite_paper,3414,High resolution tracking of non-rigid 3D motion of densely sampled data using harmonic maps,A data-driven model for monocular face tracking
28,paper_cite_paper,739,Experiments with a new boosting algorithm,Boosting Decision Trees
28,paper_cite_paper,3161,Experiments with a new boosting algorithm,Improving Performance in Neural Networks Using a Boosting Algorithm
28,paper_cite_paper,2987,Experiments with a new boosting algorithm,Bagging boosting and C4.S
28,paper_cite_paper,3738,Experiments with a new boosting algorithm,ERROR-CORRECTING OUTPUT CODING CORRECTS BIAS AND VARIANCE
30,paper_cite_paper,1693,An Analysis of Rule Evaluation Metrics,Learning Decision Trees Using the Area Under the ROC Curve
31,paper_cite_paper,4606,Increasing the accuracy and coverage of SQL progress indicators,Automatic categorization of query results
31,paper_cite_paper,1960,Increasing the accuracy and coverage of SQL progress indicators,Dynamic query optimization in Rdb/VMS
31,paper_cite_paper,1508,Increasing the accuracy and coverage of SQL progress indicators,Robust query processing through progressive optimization
31,paper_cite_paper,1808,Increasing the accuracy and coverage of SQL progress indicators,Optimization of dynamic query evaluation plans
33,paper_cite_paper,1293,Bayesian sparse sampling for on-line reward optimization,A Bayesian Framework for Reinforcement Learning
33,paper_cite_paper,4784,Bayesian sparse sampling for on-line reward optimization,PEGASUS: a policy search method for large MDPs and POMDPs
33,paper_cite_paper,2819,Bayesian sparse sampling for on-line reward optimization,Bayes Meets Bellman: The Gaussian Process Approach to Temporal Difference Learning
33,paper_cite_paper,2210,Bayesian sparse sampling for on-line reward optimization,Model based Bayesian exploration
